English,Deutsch,Arabic
you,Du,أنت
i,ich,أنا
the,Die,ال
to,Zu,ل
a,A,أ
s,S,س
it,Es,هو - هي
and,Und,و
that,Das,الذي - التي
t,T,ر
of,von,ل
is,Ist,يكون
in,In,في
what,Was,ماذا
we,Wir,نحن
me,Mich,أنا
this,Das,هذا
he,Er,هو
for,für,ل
my,Mein,لي
on,An,على
have,haben,يملك
your,dein,لك
do,Tun,يفعل
was,War,كان
m,M,م
no,NEIN,لا
not,nicht,لا
be,Sei,يكون
are,Sind,نكون
don,anziehen,اِتَّشَح
re,Betreff,يكرر
know,wissen,يعرف
can,dürfen,يستطيع
with,mit,مع
but,Aber,لكن
all,alle,الجميع
so,So,لذا
just,Nur,فقط
there,Dort,هناك
here,Hier,هنا
they,Sie,هم
like,wie,يحب
ll,ll,LL
get,erhalten,يحصل
she,sie,هي
go,gehen,يذهب
if,Wenn,لو
right,Rechts,يمين
out,aus,خارج
about,um,عن
up,hoch,أعلى
at,bei,في
him,ihn,له
now,Jetzt,الآن
oh,Oh,أوه
one,eins,واحد
come,kommen,يأتي
well,Also,حسنًا
her,ihr,ها
how,Wie,كيف
yeah,Ja,نعم
ve,ve,ve
will,Wille,سوف
got,bekommen,يملك
want,wollen,يريد
think,denken,يفكر
as,als,مثل
see,sehen,يرى
did,tat,فعل
good,Gut,جيد
who,WHO,من
why,Warum,لماذا
from,aus,من
let,lassen,يترك
his,sein,له
yes,Ja,نعم
when,Wenn,متى
going,gehen,ذاهب
time,Zeit,وقت
an,ein,و
okay,Okay,تمام
back,zurück,خلف
look,sehen,ينظر
us,uns,نحن
would,würde,كان
them,ihnen,هم
where,Wo,أين
were,war,كان
take,nehmen,يأخذ
then,Dann,ثم
had,hatte,ملك
or,oder,أو
been,gewesen,كان
our,unser,ملكنا
gonna,wird,سوف أفعل
tell,erzählen,يخبر
really,Wirklich,حقًا
man,Mann,رجل
some,manche,بعض
say,sagen,يقول
hey,Hey,يا
could,könnte,استطاع
d,D,د
didn,tatn,لم
by,von,بواسطة
need,brauchen,يحتاج
something,etwas,شئ ما
has,hat,لديه
too,zu,أيضاً
more,mehr,أكثر
way,Weg,طريق
down,runter,تحت
make,machen,يصنع
very,sehr,جداً
never,niemals,أبداً
only,nur,فقط
people,Menschen,الناس
over,über,زيادة
because,Weil,لأن
little,wenig,قليل
please,Bitte,لو سمحت
love,Liebe,حب
should,sollen,يجب
mean,bedeuten,يقصد
said,genannt,قال
sorry,Verzeihung,آسف
give,geben,يعطي
off,aus,عن
am,Bin,أكون
thank,Dank,شكر
any,beliebig,أي
two,zwei,اثنين
even,selbst,حتى
much,viel,كثيراً
doing,tun,عمل
sure,Sicher,بالتأكيد
thing,Ding,شيء
these,diese,هؤلاء
help,Hilfe,يساعد
first,Erste,أولاً
into,hinein,داخل
anything,irgendetwas,أي شئ
still,still,ما زال
find,finden,يجد
life,Leben,حياة
nothing,Nichts,لا شئ
sir,Herr,سيد
day,Tag,يوم
god,Gott,إله
work,arbeiten,عمل
their,ihre,هُم
uh,äh,أوه
again,nochmal,مرة أخرى
maybe,Vielleicht,ربما
must,muss,يجب
before,Vor,قبل
other,andere,آخر
wait,Warten,انتظر
stop,stoppen,قف
call,Forderung,يتصل
after,nach,بعد
won,gewonnen,فاز
talk,sprechen,يتحدث
away,weg,بعيد
than,als,من
thought,Gedanke,معتقد
home,heim,بيت
night,Nacht,ليلة
put,setzen,يضع
great,Großartig,عظيم
those,diese,أولئك
last,zuletzt,آخر
better,besser,أحسن
everything,alles,كل شئ
told,erzählt,أخبر
mr.,Herr.,السيد.
new,neu,جديد
things,Dinge,أشياء
always,stets,دائماً
keep,halten,يحفظ
long,lang,طويل
years,Jahre,سنين
leave,verlassen,يترك
does,tut,يفعل
money,Geld,مال
around,um,حول
